"","Ciudad Huexotzinco","Ocotepec","Almoyahuacan","Tepetzinco","Coyotzinco","Zacapechpan","Xopanac Inn","Tocuillan","Atenco South","Mextla","Tepulequique","Acxotlan Tecpan","Zecalacoayan Aytec","Tepoliuhcan","Tlatenco","Temaxcalac","Moyotzingo","Coxtocan","Mendocinas Tetla","Atzompan","Malinaltepec","Chiauhtzinco Plains","Calpultitlan","Atenco North","Xalmimilolco","Atlicholoayan","Zacatepec","Tlachichilco","Atexcac","Tlayacaque","Xaltepetlapan","Tepalcatepec","Ahuatepec","Nepopohualco","Coatlichan","Tlalnahuac","San Salvador","Tenexcalco","Tlallancallecan","Apapaztlan","Amaxac","Autliztacan","Teotlaltzinco","Hueyacatitla","Aztatoacan","Atlacintla","Quetzallan","Tozcoque","Hueyatzacoalco","Tepatlaxco","Tzayanalquilocan","Atlixco","Quimichallan","Cuaco","Tianguizmanalco","Tepetlixpan","Tepenacaztla","Chalma","Acxotlan Acatocha","Analco","Chiatlan","Coyula","Tenextepec","Chilhuacan"
"Ciudad Huexotzinco",0,9.566,10.013,6.643,5.563,3.259,2.793,4.13,3.765,2.829,16.733,3.624,11.782,7.87,12.482,14.103,10.612,9.973,12.223,15.544,18.98,8.818,4.602,4.704,7.009,6.914,5.165,12.824,11.026,15.298,5.787,7.081,3.517,7.524,21.097,23.771,17.228,24.102,24.626,32.9,30.957,35.836,13.502,20.2,16.434,14.824,15.816,12.731,18.011,19.785,21.642,25.654,31.138,34.584,23.386,31.099,33.189,33.224,35.927,39.866,37.308,36.506,41.035,40.647
"Ocotepec",9.566,0,1.697,2.923,7.569,6.307,9.392,7.633,13.331,12.395,7.167,7.916,8.357,5.262,2.916,17.299,14.862,10.329,11.171,12.434,17.928,7.089,10.807,14.27,15.562,11.388,14.731,10.956,12.113,6.953,11.621,16.647,13.083,4.722,21.33,24.004,17.461,24.335,24.896,33.133,31.227,36.106,12.45,20.433,16.79,15.18,14.764,13.087,18.378,21.137,21.998,35.22,40.704,44.15,32.952,40.665,42.755,42.79,45.493,49.432,46.874,46.072,50.601,50.213
"Almoyahuacan",10.013,1.697,0,4.62,9.266,7.028,10.35,8.591,13.778,12.842,8.864,6.689,10.054,6.959,4.613,18.996,16.559,12.026,12.868,14.131,19.625,8.786,12.159,14.717,16.82,13.085,15.178,12.653,13.81,8.65,10.394,16.523,12.257,3.025,23.027,25.701,19.158,26.032,26.593,34.83,32.924,37.803,14.147,22.13,18.487,16.877,16.461,14.784,20.075,22.834,23.695,35.096,40.58,44.026,32.828,40.541,42.631,42.666,45.369,49.308,46.75,45.948,50.477,50.089
"Tepetzinco",6.643,2.923,4.62,0,5.269,3.384,6.469,4.71,10.408,9.472,10.09,4.993,7.397,3.485,5.839,15.522,13.085,8.552,9.394,12.038,16.151,5.312,8.278,11.347,12.939,9.088,11.808,13.879,13.937,9.876,8.698,13.724,10.16,7.645,19.553,22.227,15.684,22.558,23.119,31.356,29.45,34.329,10.673,18.656,15.013,13.403,12.987,11.31,16.601,19.36,20.221,32.297,37.781,41.227,30.029,37.742,39.832,39.867,42.57,46.509,43.951,43.149,47.678,47.29
"Coyotzinco",5.563,7.569,9.266,5.269,0,3.686,3.882,2.123,9.328,6.893,11.437,5.295,6.219,2.307,7.186,11.38,8.372,4.41,6.66,9.981,13.417,3.255,3.238,9.737,7.993,3.819,10.728,14.495,14.239,14.522,9,12.644,9.08,9.025,15.534,18.208,11.665,18.539,19.063,27.337,25.394,30.273,7.939,14.637,10.871,9.261,10.253,7.168,12.459,15.218,16.079,31.217,36.701,40.147,28.949,36.662,38.752,38.787,41.49,45.429,42.871,42.069,46.598,46.21
"Zacapechpan",3.259,6.307,7.028,3.384,3.686,0,3.322,1.563,7.024,6.088,13.474,1.609,9.905,5.993,9.223,14.632,11.141,8.096,10.346,13.667,17.103,6.941,5.131,7.963,9.792,7.443,8.424,10.809,10.553,13.113,5.314,10.34,6.776,5.339,19.22,21.894,15.351,22.225,22.749,31.023,29.08,33.959,11.625,18.323,14.557,12.947,13.939,10.854,16.145,18.904,19.765,28.913,34.397,37.843,26.645,34.358,36.448,36.483,39.186,43.125,40.567,39.765,44.294,43.906
"Xopanac Inn",2.793,9.392,10.35,6.469,3.882,3.322,0,1.759,6.558,3.011,15.319,4.931,10.101,6.189,11.068,11.31,7.819,7.507,10.542,13.863,17.299,7.137,1.809,5.855,6.47,4.121,7.958,14.131,13.819,16.345,8.58,9.874,6.31,8.661,19.416,22.09,15.547,22.421,22.16,31.219,28.491,33.37,11.821,18.519,13.968,12.358,13.995,10.265,15.218,16.992,19.176,28.447,33.931,37.377,26.179,33.892,35.982,36.017,38.72,42.659,40.101,39.299,43.828,43.44
"Tocuillan",4.13,7.633,8.591,4.71,2.123,1.563,1.759,0,7.895,4.77,13.56,3.172,8.342,4.43,9.309,13.069,9.578,6.533,8.783,12.104,15.54,5.378,3.568,7.614,8.229,5.88,9.295,12.372,12.116,14.586,6.877,11.211,7.647,6.902,17.657,20.331,13.788,20.662,21.186,29.46,27.517,32.396,10.062,16.76,12.994,11.384,12.376,9.291,14.582,17.341,18.202,29.784,35.268,38.714,27.516,35.229,37.319,37.354,40.057,43.996,41.438,40.636,45.165,44.777
"Atenco South",3.765,13.331,13.778,10.408,9.328,7.024,6.558,7.895,0,3.665,20.498,7.389,15.547,11.635,16.247,17.574,14.083,13.738,15.988,19.309,22.745,12.583,8.367,2.667,9.482,10.679,3.166,16.589,14.791,19.063,9.552,10.438,7.058,11.289,24.862,27.536,20.993,27.867,28.391,36.665,34.722,39.601,17.267,23.965,20.199,18.589,19.581,16.496,21.482,23.256,25.407,29.011,34.495,37.941,26.743,34.456,36.546,36.581,39.284,43.223,40.665,39.863,44.392,44.004
"Mextla",2.829,12.395,12.842,9.472,6.893,6.088,3.011,4.77,3.665,0,18.33,6.453,13.112,9.2,14.079,14.321,10.83,10.518,13.553,16.874,20.31,10.148,4.82,2.844,9.481,7.132,6.831,15.653,13.855,18.127,8.616,9.91,6.346,10.353,22.427,25.101,18.558,25.432,25.171,34.23,31.502,36.381,14.832,21.53,16.979,15.369,17.006,13.276,18.229,20.003,22.187,28.483,33.967,37.413,26.215,33.928,36.018,36.053,38.756,42.695,40.137,39.335,43.864,43.476
