"","Ciudad Huexotzinco","Ocotepec","Almoyahuacan","Tepetzinco","Coyotzinco","Zacapechpan","Xopanac Inn","Tocuillan","Atenco South","Mextla","Tepulequique","Acxotlan Tecpan","Zecalacoayan Aytec","Tepoliuhcan","Tlatenco","Temaxcalac","Moyotzingo","Coxtocan","Mendocinas Tetla","Atzompan","Malinaltepec","Chiauhtzinco Plains","Calpultitlan","Atenco North","Xalmimilolco","Atlicholoayan","Zacatepec","Tlachichilco","Atexcac","Tlayacaque","Xaltepetlapan","Tepalcatepec","Ahuatepec","Nepopohualco","Coatlichan","Tlalnahuac","San Salvador","Tenexcalco","Tlallancallecan","Apapaztlan","Amaxac","Autliztacan","Teotlaltzinco","Hueyacatitla","Aztatoacan","Atlacintla","Quetzallan","Tozcoque","Hueyatzacoalco","Tepatlaxco","Tzayanalquilocan","Atlixco","Quimichallan","Cuaco","Tianguizmanalco","Tepetlixpan","Tepenacaztla","Chalma","Acxotlan Acatocha","Analco","Chiatlan","Coyula","Tenextepec","Chilhuacan"
"Ciudad Huexotzinco",0,9.18753202694635,7.28962430669987,5.17949392940668,5.07780835541897,2.61863502902398,2.79599622602169,3.54652055040471,4.05857022494129,3.25091357825958,12.8365389127094,3.54602127911836,8.85762108065317,6.41652749269762,9.40919474349523,13.1082691339182,9.37009313209514,8.91325600524025,10.7805920259647,12.6709949212542,15.0591261377408,8.02721970655605,4.71848255378987,6.30737221280327,7.69772575999117,6.21537556287989,4.45426232868177,10.3235642412932,8.84849266665586,14.8010900198041,4.07074464277671,7.29831736427933,3.47047306061666,7.16909838220643,19.3247796235625,22.2330418238593,17.1681545392432,21.6782224285852,21.147940732693,28.9022486569846,24.1811125656914,31.0631124957236,13.7178752139628,18.8332820181363,15.087600547895,13.4868105604798,12.5955596066351,11.9443555661633,14.5877344478823,17.4736635790656,17.4809324031213,22.1378374712755,25.1279698645391,28.427637608538,22.49036164798,26.0514523512492,24.7574508373969,30.5034115850183,26.8814972725824,28.0372938206633,32.6770709052613,30.2738849933296,34.0693183669478,31.1028799776545
"Ocotepec",9.18753202694635,0,1.90727432037983,4.60828125518845,7.07771914494397,7.08425734161956,9.45420218831522,7.10084889185144,13.2454352152866,11.6563639650119,3.64902210784902,5.72670174328976,3.36026888591402,4.75340139566926,1.32152316479605,15.1756645756927,12.8676537351996,9.56766145087474,6.71735037216946,4.32428650735272,7.92952098346128,6.57060506436689,11.5966274789501,15.0495406165829,14.699325663038,10.5364302163298,12.5304295257179,2.35953950467403,2.93794028809642,6.01018348976571,6.23429268264322,12.7878326839774,9.18377441334747,2.23028517304115,14.9304225672838,15.9556771304296,12.3522987099427,17.0156153668645,19.0475458670534,22.8896937885675,20.3400516031397,26.5223762177487,8.54513205499408,12.0362298522526,12.6266877301192,10.8665638917642,9.74257898313162,12.1207799181816,14.3943626435896,17.3956363652355,15.404745147247,21.5590979195027,23.6867042931301,26.5020130236814,22.9620703388528,27.1324230137925,26.8266056850175,32.3501371789658,29.8090518502215,31.8072156671795,33.5789574944018,29.4345999431261,33.8269926919542,34.1066952060092
"Almoyahuacan",7.28962430669987,1.90727432037983,0,3.023500475026,5.70580277581461,5.27902531130138,7.72251729370074,5.44183675733834,11.34557386815,9.84580571803992,5.55103209383463,3.81990549268176,3.52820857361865,3.69724687782193,2.51350296751944,14.4490393251555,11.7823953362151,8.82675513190671,6.94648009393538,5.93468546198245,9.22968838458893,5.96958867832879,9.94799472910649,13.2310454812629,13.1167744072278,9.18202220895477,10.6622807602068,3.45025073322139,2.87565266660954,7.69570268034249,4.43577329089761,11.1580556729717,7.37757000867678,0.689162647461243,15.6556952086543,17.1723363354526,13.1216374888838,17.8456427323142,19.3094721391786,24.1038347698707,21.0218185333555,27.4226113157149,9.26465131868652,13.3332603827593,12.8045046556233,11.0043324859662,9.87591320266232,11.6600838122931,14.1124194618907,17.1758412920317,15.5813951765497,21.1905093655007,23.5335785391768,26.4859925916037,22.3948794410843,26.4899163611669,25.9896560560997,31.5985735122822,28.8362096273632,30.6946421634917,33.0210908348524,29.207223585613,33.5043651602896,33.1464276493554
"Tepetzinco",5.17949392940668,4.60828125518845,3.023500475026,0,2.73634302560613,2.68157794906864,4.87071475651377,2.49450969423809,9.12936592799993,7.15634143789764,8.11778070623132,2.6893068278899,3.68893602135067,1.60379893973391,4.43417343143543,11.8713985143622,8.9191586359167,6.38609466785642,6.13590553147673,7.52938517550985,9.94188646372595,4.00788147794629,6.99011279329976,10.5431675248746,10.1196906948978,6.18287900196559,9.28791416994941,6.47265232668825,5.70110116118358,10.6068620250382,4.23352770458589,10.8626500545468,6.62499134565532,3.36037390973834,15.0404462664705,17.399700680116,12.6705675823308,17.3506174066619,17.8855749919556,24.2124810052117,20.2172446070407,26.909332709931,8.96585659927118,13.8298643528467,11.4313142953946,9.65888787579692,8.59662996508044,9.4501006148812,12.056427176157,15.1345963283007,14.1140208184042,23.0267973994389,25.6022899287221,28.6836035131462,23.9571214974167,27.9063617586474,27.1099877749968,32.8138257827934,29.7022463943882,31.2892234834461,34.5173706543731,31.1538935393312,35.3133326031143,34.0058021698378
"Coyotzinco",5.07780835541897,7.07771914494397,5.70580277581461,2.73634302560613,0,2.72493070475103,3.30181395483163,1.5846387022442,8.3357965294387,5.70094967484065,10.3289265407169,4.49870391510213,5.02150519468133,2.45466599612625,6.56916684549439,9.33499227162888,6.20378587076093,4.16661933431186,5.89631858046362,9.08725967619364,10.6084089942784,3.01603614909472,4.8197284034319,8.8855018126494,7.71013642688764,3.48141665824483,9.53207020043597,9.12598144831577,8.43702663847256,13.0673642187993,6.15305352790455,11.995178411284,7.74496020339044,6.09118856971916,14.2488087823611,17.3081863244379,12.1273022813621,16.6028973255045,16.2772383471362,23.8855739523613,19.1278651879204,25.9925524601173,8.82165852832611,14.0966259969775,10.0619347620348,8.42304395371223,7.51787054540532,7.31694693909107,9.99005398201976,13.0172637561404,12.5514073351331,25.3458859082503,28.0358461172054,31.1750340722495,26.1122942531755,29.9487990376814,28.9612096767299,34.7000243288146,31.3589975726098,32.7352995263231,36.5844903069355,33.5051444113671,37.5738433562308,35.634651634277
"Zacapechpan",2.61863502902398,7.08425734161956,5.27902531130138,2.68157794906864,2.72493070475103,0,2.52384469437704,1.15681340369176,6.45859172382078,4.57321352832554,10.689735910591,2.33930708413388,6.29536349858802,3.80127907568914,7.08128095559961,11.6977237008336,8.21647509771435,6.84825677826075,8.18697552142753,10.2080704240177,12.453476278625,5.5052562973297,4.8683912571907,7.96542773305172,8.10552948938727,5.07030910026089,6.98727925948114,8.61724216477778,7.44087972587196,12.9718638294114,3.80753444131347,9.27045941074575,5.02441704793597,5.35700902630311,16.8410627530373,19.6313078197269,14.6251034547101,19.1886131940616,19.001809204707,26.3312349814552,21.8053991384029,28.6395839187344,11.1186167520131,16.2147165295726,12.7675174294822,11.0999894436234,10.1522567344579,9.984881151664,12.6604503382809,15.6564450612957,15.2757219773306,22.9864193268258,25.790819004776,28.9983454530156,23.6211943803447,27.3844689221695,26.3182132293089,32.0634366916601,28.6637752838603,30.0138490533257,34.0246548952846,31.1565549127954,35.1385508181171,32.9325586952818
"Xopanac Inn",2.79599622602169,9.45420218831522,7.72251729370074,4.87071475651377,3.30181395483163,2.52384469437704,0,2.39951310331163,5.10293587490344,2.417389449653,12.9879553699336,4.76555241808016,8.10581526290458,5.45996327271688,9.28013389494183,10.3171610218731,6.57466581168207,6.43367124430301,9.17223553900254,12.1603946571905,13.9033570634442,6.26128524859378,2.36579799331446,5.72458192972987,5.60104214910981,3.42573949188301,6.89643066408914,11.1102660746048,9.96471302025315,15.412129955979,6.00036346567368,10.0749207952044,6.21947014654621,7.8535934364102,17.2162167712021,20.5207424892546,15.2330311368345,19.5673761785921,18.5972092044558,26.9979879210241,21.8577460005233,28.7912782291752,12.076662717374,17.383751203814,12.7496080711164,11.2633860267442,10.4850095186847,9.33012229761382,11.9324169923762,14.7572340015554,14.9985043422371,24.800744658453,27.7273601554713,30.9930728816238,25.2324928049203,28.8317092044893,27.5533966124506,33.2994062934564,29.6620618389063,30.7707238988846,35.4610809191539,32.9556075148898,36.8045239490902,33.8734568562605
"Tocuillan",3.54652055040471,7.10084889185144,5.44183675733834,2.49450969423809,1.5846387022442,1.15681340369176,2.39951310331163,0,7.07488136691147,4.76090870721219,10.59976897502,3.23555753838215,5.76324882609066,3.13710204665759,6.88207185428461,10.6105818197141,7.21708946749358,5.69151518598214,7.26408660182886,9.79261477631579,11.7425331273024,4.48072181593733,4.50947258344734,8.11571620417281,7.68058513038672,4.14994808398701,7.99178530625089,8.87836503272458,7.89927253120895,13.0907909699568,4.82382040092843,10.4167970085446,6.17964063009652,5.66015027824472,15.7898281276365,18.7170386043589,13.6216956219699,18.1417147798548,17.852932761432,25.3598159008287,20.7043201548469,27.5585701819537,10.2043657261762,15.3921070352438,11.6454450475278,9.99771497433434,9.07436569814089,8.82947186653274,11.5051695711,14.5059005912694,14.1325678223421,24.0454247577173,26.8100154516406,29.9937889864412,24.7248938613837,28.5113112020938,27.4657449841267,33.2097536605654,29.8202126691721,31.167460047244,35.1507761043331,32.2140106833069,36.2259615139493,34.0893508687534
"Atenco South",4.05857022494129,13.2454352152866,11.34557386815,9.12936592799993,8.3357965294387,6.45859172382078,5.10293587490344,7.07488136691147,0,3.06588676443104,16.8943118607679,7.56886047079357,12.7452881749391,10.1823176360828,13.4478765697554,14.2146450157523,10.4333313712727,11.3696689222115,14.2320990556073,16.6578068038888,18.8172307743337,11.3387836778267,5.21967535753758,3.40601883706905,6.70212578177575,7.8425680569488,3.52270713985321,14.3021654623659,12.740275117552,18.7920922163995,7.75080639534755,7.55344209499565,5.76748185658206,11.2027409490207,22.2764265621054,25.6188087818529,20.3321020465384,24.6218738831233,23.2731323455518,32.0939981253155,26.7861615460369,33.7418944260458,17.1543607282542,22.4245831274544,17.7125328101288,16.3014513066709,15.564558167939,14.0181534843944,16.4759332394863,19.0592114517952,19.8041880331079,23.4784440771543,26.6843572604469,30.0652299612267,23.3703084695897,26.5036525204087,24.8027142818274,30.4559591467878,26.4269669105383,27.1189650555522,33.0058003632352,31.4197532202116,34.8682526932291,30.4834790752015
"Mextla",3.25091357825958,11.6563639650119,9.84580571803992,7.15634143789764,5.70094967484065,4.57321352832554,2.417389449653,4.76090870721219,3.06588676443104,0,15.2491553086933,6.44807194889638,10.5094139223563,7.86636596524231,11.5902959426184,11.2654350549824,7.4562468530499,8.34424344704047,11.5240838665993,14.5522312750103,16.309302626163,8.60567454486734,2.2168787021235,3.39424390427268,4.57641285747799,4.77672184888624,5.81113481010348,13.1296548768168,11.8143686425292,17.5289007029037,7.27559942889102,9.56632787073176,6.45724740516387,9.88027245920602,19.2936035102974,22.7869827141173,17.4234460513669,21.6311543875101,20.2094138597328,29.1624387512781,23.7356352133667,30.6944683686466,14.4004047177415,19.7367666350448,14.6788912489232,13.3092339700596,12.6187029325383,10.9522953247276,13.418195455644,16.0402864856371,16.740388760215,25.0651550511382,28.1367853426659,31.4683134718793,25.2386464603039,28.6189941064123,27.1162837982125,32.8283749687579,28.9670504653061,29.8371629366547,35.2005524184718,33.1495047321331,36.8114818170819,33.0990078378724
