NUM,Variable,Occupation,Occupation2,Occupation2Status,English,Spanish,Nahuatl,Sectors3,Sectors4,Sectors3b,Sectors4b,Subsector,Industry,GovtChurchDemand,SpanishDemand,NobleDemand,LuxuryDemand,UtilDemand,TotalCountOccu,Ubiquity_Agg,Ubiquity_Barrios,Gini_Bar,HHI_Bar,HHIeq_Bar,HooverNon-Wt_Bar,CoulterNon-Wt_Bar,Atkinson_Bar,SD_Bar,CVNorm_Bar,Gini_Agg,HHI_Agg,HHIeq_Agg,HooverNon-Wt_Agg,CoulterNon-Wt_Agg,Atkinson_Agg,SD_Agg,CVNprm_Agg,PctRenter,Renter,PctFree,Free,RF_Ratio,FR_Ratio
55,FieldHand_T,FieldHand,FieldHand,FieldHand_T,Field Hands,Gañanes,Quaquauhtlaxque / Tequaquauhtlylli / Tetlaylli / Xpianoy itech pohui,Pri,Pri,Pri,Pri,AG,AG,FALSE,TRUE,FALSE,FALSE,FALSE,51,8,8,0.97721496,0.188773549,5.297352342,0.962962963,0.303433616,0.967360236,1.492552571,0.431115842,0.92310049,0.188773549,5.297352342,0.875,0.294235066,0.889840796,2.673679395,0.422716161,0.862745098,44,0.058823529,3,14.66666667,0.068181818
59,Cochinilla_T,Cochinilla,Cochinilla,Cochinilla_T,Cochinilla,Cochinilla,NA,Pri,Pri,Pri,Pri,AG,Horti,FALSE,TRUE,TRUE,FALSE,FALSE,9,2,2,0.991255144,0.50617284,1.975609756,0.990740741,0.50077101,0.990769407,0.434687806,0.711491095,0.970486111,0.50617284,1.975609756,0.96875,0.49525137,0.96884675,0.794168978,0.711508525,0.333333333,3,0.666666667,6,0.5,2
63,Bird_T,Bird,Bird,Bird_T,Bird Catchers,Cazadores de codornices,Tzollanque,Pri,Pri,Pri,Pri,Extract,HuntColl,FALSE,FALSE,TRUE,FALSE,FALSE,43,15,15,0.956826012,0.101135749,9.887700535,0.930555556,0.219665791,0.938485342,0.911017358,0.312099245,0.854287791,0.101135749,9.887700535,0.765625,0.206773728,0.792388028,1.584194628,0.297063833,0.837209302,36,0.162790698,7,5.142857143,0.194444444
67,Hunter_T,Hunter,Hunter,Hunter_T,Hunters (Unspecified),Cazadores (no especificados),Anque,Pri,Pri,Pri,Pri,Extract,HuntColl,FALSE,FALSE,TRUE,TRUE,FALSE,8,3,3,0.987268519,0.34375,2.909090909,0.986111111,0.411776863,0.986228033,0.317722299,0.585048985,0.95703125,0.34375,2.909090909,0.953125,0.405046294,0.953519611,0.577350269,0.581914374,1,8,0,0,Inf,0
71,Honey_T,Honey,Honey,Honey_T,Honey Gatherers,Recolectores de miel,Cuauhnequanque,Pri,Pri,Pri,Pri,Extract,HuntColl,FALSE,FALSE,TRUE,TRUE,FALSE,3,1,1,0.99537037,1,1,0.99537037,0.705468061,0.99537037,0.204124145,1.002322884,0.984375,1,1,0.984375,0.70156076,0.984375,0.375,1.007905261,1,3,0,0,Inf,0
75,PineResin_T,PineResin,PineResin,PineResin_T,Pine Resin Extractors,Recolectores de resina de pino,Ocotzotlazque,Pri,Pri,Pri,Pri,Extract,Forestry,FALSE,FALSE,TRUE,TRUE,FALSE,61,8,11,0.97654827,0.216339694,4.622360248,0.949074074,0.325353703,0.961126748,1.914173752,0.46225971,0.940829918,0.254501478,3.929250264,0.875,0.345598378,0.904358468,3.756178772,0.496507849,0.93442623,57,0.06557377,4,14.25,0.070175439
79,Fish_T,Fish,Fish,Fish_T,Fishermen,Pescadores,Michanqui / Michmani / Tlatlama,Pri,Pri,Pri,Pri,Extract,Fishing,FALSE,FALSE,TRUE,TRUE,FALSE,19,8,8,0.975389864,0.180055402,5.553846154,0.962962963,0.296163614,0.966560431,0.542726552,0.420786686,0.916940789,0.180055402,5.553846154,0.875,0.286731932,0.887141454,0.970676208,0.411936698,1,19,0,0,Inf,0
83,PineTorch_T,PineTorch,PineTorch,PineTorch_T,Pine Torch Cutters,Cortadores de antorchas de pino,Ocotlapanque,Pri,Pri,Pri,Pri,Extract,Forestry,FALSE,FALSE,TRUE,TRUE,FALSE,15,5,5,0.984876543,0.28,3.571428571,0.976851852,0.371059544,0.979340245,0.536822405,0.527198172,0.948958333,0.28,3.571428571,0.921875,0.363575989,0.930273327,0.971697704,0.522335589,0.933333333,14,0.066666667,1,14,0.071428571
87,Flower_T,Flower,Flower,Flower_T,Florists (fresh),Floristas de flores frescas,Celicxochichiuhque / Xochimanque,Pri,Pri,Pri,Pri,Extract,Horti,FALSE,FALSE,TRUE,TRUE,FALSE,23,10,11,0.967592593,0.141776938,7.053333333,0.949074074,0.261865717,0.954649934,0.580901168,0.372056533,0.902853261,0.156899811,6.373493976,0.84375,0.265776984,0.862126677,1.0891556,0.381831534,0.130434783,3,0.869565217,20,0.15,6.666666667
91,DryFlower_T,DryFlower,DryFlower,DryFlower_T,Florists (dried),Floristas de flores secas,Vaquixochiciuhque / Huacaxochichiuhque ,Sec,Sec,Sec,Sec,LightInd,PrestCraft,FALSE,FALSE,TRUE,FALSE,FALSE,18,8,11,0.965534979,0.160493827,6.230769231,0.949074074,0.279163212,0.954654559,0.484648038,0.396632662,0.923611111,0.203703704,4.909090909,0.875,0.306658363,0.891469749,0.983494741,0.440564233,0.055555556,1,0.888888889,16,0.0625,16
