id,Path,Origin,Origin_ID,Destination,Destination_ID,Dist_km
1,Atexcac - Xaltepetlapan,Atexcac,129,Xaltepetlapan,131,5.239
2,Atexcac - Tlayacaque,Atexcac,129,Tlayacaque,130,5.16
3,Atexcac - Tlachichilco,Atexcac,129,Tlachichilco,128,3.632
4,Tlachichilco - Acxotlan Tecpan,Tlachichilco,128,Acxotlan Tecpan,112,9.2
5,Xaltepetlapan - Acxotlan Tecpan,Xaltepetlapan,131,Acxotlan Tecpan,112,3.705
6,Xaltepetlapan - Ahuatepec,Xaltepetlapan,131,Ahuatepec,133,4.818
7,Ciudad Huexotzinco - Ahuatepec,Ciudad Huexotzinco,101,Ahuatepec,133,3.517
8,Ahuatepec - Zacatepec,Ahuatepec,133,Zacatepec,127,4.393
9,Ciudad Huexotzinco - Zacatepec,Ciudad Huexotzinco,101,Zacatepec,127,5.165
10,Ciudad Huexotzinco - Atenco South,Ciudad Huexotzinco,101,Atenco South,109,3.765
11,Atenco South - Atenco North,Atenco South,109,Atenco North,124,2.667
12,Ciudad Huexotzinco - Mextla,Ciudad Huexotzinco,101,Mextla,110,2.829
13,Ciudad Huexotzinco - Atenco North,Ciudad Huexotzinco,101,Atenco North,124,4.704
14,Zacatepec - Tepalcatepec,Zacatepec,127,Tepalcatepec,132,7.272
14,Ahuatepec - Tepalcatepec,Ahuatepec,133,Tepalcatepec,132,4.266
15,Acxotlan Tecpan - Ciudad Huexotzinco,Acxotlan Tecpan,112,Ciudad Huexotzinco,101,3.624
16,Acxotlan Tecpan - Zacapechpan,Acxotlan Tecpan,112,Zacapechpan,106,1.609
16,Ciudad Huexotzinco - Zacapechpan,Ciudad Huexotzinco,101,Zacapechpan,106,3.259
17,Tlachichilco - Tlayacaque,Tlachichilco,128,Tlayacaque,130,4.003
18,Nepopohualco - Tlayacaque,Nepopohualco,134,Tlayacaque,130,7.774
19,Nepopohualco - Almoyahuacan,Nepopohualco,134,Almoyahuacan,103,3.025
20,Nepopohualco - Acxotlan Tecpan,Nepopohualco,134,Acxotlan Tecpan,112,3.9
21,Nepopohualco - Zacapechpan,Nepopohualco,134,Zacapechpan,106,5.339
22,Tlayacaque - Ocotepec,Tlayacaque,130,Ocotepec,102,6.953
23,Ocotepec - Almoyahuacan,Ocotepec,102,Almoyahuacan,103,1.697
24,Almoyahuacan - Acxotlan Tecpan,Almoyahuacan,103,Acxotlan Tecpan,112,6.689
25,Ocotepec - Tepetzinco,Ocotepec,102,Tepetzinco,104,2.923
26,Almoyahuacan - Zacapechpan,Almoyahuacan,103,Zacapechpan,106,7.028
28,Ocotepec - Tepoliuhcan,Ocotepec,102,Tepoliuhcan,114,5.262
27,Tlayacaque - Tepulequique,Tlayacaque,130,Tepulequique,111,4.893
30,Tepetzinco - Tepoliuhcan,Tepetzinco,104,Tepoliuhcan,114,3.485
31,Tepetzinco - Zacapechpan,Tepetzinco,104,Zacapechpan,106,3.384
32,Ocotepec - Tlatenco,Ocotepec,102,Tlatenco,115,2.916
32,Tocuillan - Zacapechpan,Tocuillan,108,Zacapechpan,106,1.563
33,Ciudad Huexotzinco - Xopanac Inn,Ciudad Huexotzinco,101,Xopanac Inn,107,2.793
34,Ciudad Huexotzinco - Tocuillan,Ciudad Huexotzinco,101,Tocuillan,108,4.13
35,Tocuillan - Xopanac Inn,Tocuillan,108,Xopanac Inn,107,1.759
36,Ciudad Huexotzinco - Coyotzinco,Ciudad Huexotzinco,101,Coyotzinco,105,5.563
36,Xopanac Inn - Calpultitlan,Xopanac Inn,107,Calpultitlan,123,1.809
37,Tocuillan - Coyotzinco,Tocuillan,108,Coyotzinco,105,2.123
38,Coyotzinco - Tepoliuhcan,Coyotzinco,105,Tepoliuhcan,114,2.307
39,Tocuillan - Tepetzinco,Tocuillan,108,Tepetzinco,104,4.71
41,Tepetzinco - Coyotzinco,Tepetzinco,104,Coyotzinco,105,5.269
42,Tocuillan - Tepoliuhcan,Tocuillan,108,Tepoliuhcan,114,4.458
43,Ciudad Huexotzinco - Tepoliuhcan,Ciudad Huexotzinco,101,Tepoliuhcan,114,8.03
44,Chiauhtzinco Plains - Tepoliuhcan,Chiauhtzinco Plains,122,Tepoliuhcan,114,1.827
45,Coyotzinco - Calpultitlan,Coyotzinco,105,Calpultitlan,123,3.238
46,Calpultitlan - Xalmimilolco,Calpultitlan,123,Xalmimilolco,125,4.966
47,Xopanac Inn - Xalmimilolco,Xopanac Inn,107,Xalmimilolco,125,6.47
48,Mextla - Xopanac Inn,Mextla,110,Xopanac Inn,107,3.011
49,Zacatepec - Atenco South,Zacatepec,127,Atenco South,109,3.166
50,Mextla - Atenco North,Mextla,110,Atenco North,124,2.844
51,Mextla - Atenco South,Mextla,110,Atenco South,109,3.665
52,Atenco South - Ahuatepec,Atenco South,109,Ahuatepec,133,7.058
53,Ahuatepec - Acxotlan Tecpan,Ahuatepec,133,Acxotlan Tecpan,112,5.568
55,Xaltepetlapan - Ciudad Huexotzinco,Xaltepetlapan,131,Ciudad Huexotzinco,101,5.787
56,Atenco North - Xalmimilolco,Atenco North,124,Xalmimilolco,125,6.815
57,Xalmimilolco - Atlicholoayan,Xalmimilolco,125,Atlicholoayan,126,4.174
59,Ciudad Huexotzinco - Xalmimilolco,Ciudad Huexotzinco,101,Xalmimilolco,125,7.009
60,Ciudad Huexotzinco - Tepalcatepec,Ciudad Huexotzinco,101,Tepalcatepec,132,7.081
61,Ciudad Huexotzinco - Almoyahuacan,Ciudad Huexotzinco,101,Almoyahuacan,103,10.013
62,Coyotzinco - Chiauhtzinco Plains,Coyotzinco,105,Chiauhtzinco Plains,122,3.255
63,Coyotzinco - Mendocinas Tetla,Coyotzinco,105,Mendocinas Tetla,119,6.66
64,Chiauhtzinco Plains - Mendocinas Tetla,Chiauhtzinco Plains,122,Mendocinas Tetla,119,4.082
65,Tlatenco - Tepoliuhcan,Tlatenco,115,Tepoliuhcan,114,4.879
66,Calpultitlan - Atlicholoayan,Calpultitlan,123,Atlicholoayan,126,2.312
67,Coyotzinco - Atlicholoayan,Coyotzinco,105,Atlicholoayan,126,3.819
68,Chiauhtzinco Plains - Coxtocan,Chiauhtzinco Plains,122,Coxtocan,118,3.24
69,Tepulequique - Tlatenco,Tepulequique,111,Tlatenco,115,4.251
70,Tepulequique - Zecalacoayan Aytec,Tepulequique,111,Zecalacoayan Aytec,113,6.305
71,Tepulequique - Atzompan,Tepulequique,111,Atzompan,120,5.267
72,Tlatenco - Zecalacoayan Aytec,Tlatenco,115,Zecalacoayan Aytec,113,5.441
73,Tepoliuhcan - Zecalacoayan Aytec,Tepoliuhcan,114,Zecalacoayan Aytec,113,3.912
74,Zecalacoayan Aytec - Chiauhtzinco Plains,Zecalacoayan Aytec,113,Chiauhtzinco Plains,122,3.846
75,Zecalacoayan Aytec - Atzompan,Zecalacoayan Aytec,113,Atzompan,120,4.668
76,Atzompan - Chiauhtzinco Plains,Atzompan,120,Chiauhtzinco Plains,122,6.726
77,Atzompan - Mendocinas Tetla,Atzompan,120,Mendocinas Tetla,119,4.888
78,Zecalacoayan Aytec - Mendocinas Tetla,Zecalacoayan Aytec,113,Mendocinas Tetla,119,4.439
79,Coyotzinco - San Salvador,Coyotzinco,105,San Salvador,203,11.665
80,Teotlaltzinco - Quetzallan,Teotlaltzinco,209,Quetzallan,213,2.983
81,Teotlaltzinco - Mendocinas Tetla,Teotlaltzinco,209,Mendocinas Tetla,119,1.279
82,Teotlaltzinco - San Salvador,Teotlaltzinco,209,San Salvador,203,5.011
