ORD,Name,BarrioName,Pueblo,FolioStart,Unit,East,North,AggZone_fid,AggZone_ID,AggZone,AggZoneConserv,AggZoneNumConserv,ConservAgg_East,ConservAgg_North,LocFlag,Barrios,Region,CensusReg,NameUncertain,MissingPages,PuebloEvang,PuebloFullName,Churches,Mills,Inns,Markets,Ciudad,Cabecera,Altepetl,Calpolli,BarrioSujetoB,CircleRenters
1,Tecpan-Tecpan,Tecpan,Tecpan,482v,Barrio,558749.9108,2117475.327,12,112,Acxotlan Tecpan,Tecpan,1,562467,2118569,FALSE,1,Central,Ciudad,FALSE,FALSE,San Juan,San Juan Tecpan,0,0,0,0,0,0,0,1,0,0
2,Tecpan-Cuauhquiahuac,Cuauhquiahuac,Tecpan,483r,Barrio,559638.2133,2118040.279,12,112,Acxotlan Tecpan,Tecpan,1,562467,2118569,FALSE,1,Central,Ciudad,FALSE,FALSE,San Juan,San Juan Tecpan,0,0,0,0,0,0,0,1,0,0
3,Tecpan-Zocuinanco,Zocuinanco,Tecpan,483v,Barrio,560380.3437,2118543.811,1,101,Ciudad Huexotzinco,Tecpan,1,562467,2118569,FALSE,1,Central,Ciudad,FALSE,FALSE,San Juan,San Juan Tecpan,0,0,0,0,0,0,0,1,0,0
4,Tecpan-Tlacochcalco1,Tlacochcalco1,Tecpan,484r,Barrio,561141.7429,2118504.177,1,101,Ciudad Huexotzinco,Tecpan,1,562467,2118569,FALSE,1,Central,Ciudad,FALSE,FALSE,San Juan,San Juan Tecpan,0,0,0,0,0,0,0,1,0,0
5,Tecpan-Tepetlapan,Tepetlapan,Tecpan,484v,Barrio,562397.8677,2119790.979,1,101,Ciudad Huexotzinco,Tecpan,1,562467,2118569,FALSE,1,Central,Ciudad,FALSE,FALSE,San Juan,San Juan Tecpan,0,0,0,0,0,0,0,1,0,0
6,Tecpan-Pochtlan,Pochtlan,Tecpan,485r,Barrio,562881.4491,2120328.268,10,110,Mextla,Tecpan,1,562467,2118569,FALSE,1,Central,Ciudad,FALSE,FALSE,San Juan,San Juan Tecpan,0,0,0,0,0,0,0,1,0,0
7,Tecpan-Cihuatichan,Cihuatichan,Tecpan,485v,Barrio,563429.8129,2119545.36,10,110,Mextla,Tecpan,1,562467,2118569,FALSE,1,Central,Ciudad,FALSE,FALSE,San Juan,San Juan Tecpan,0,0,0,0,0,0,0,1,0,0
8,Tecpan-Tepoliuhcan,Tepoliuhcan,Tecpan,486r,Barrio,563378.4675,2116378.032,27,127,Zacatepec,Tecpan,1,562467,2118569,FALSE,1,Central,UNK,FALSE,FALSE,San Juan,San Juan Tecpan,0,0,0,0,0,0,0,1,0,0
9,Tecpan-Tlamaoco,Tlamaoco,Tecpan,486v,Barrio,564763.7706,2116020.186,27,127,Zacatepec,Tecpan,1,562467,2118569,FALSE,1,Central,UNK,FALSE,FALSE,San Juan,San Juan Tecpan,0,0,0,0,0,0,0,1,0,0
10,Tecpan-Tlacochcalco2,Tlacochcalco2,Tecpan,487r,Barrio,565502.707,2115141.689,27,127,Zacatepec,Tecpan,1,562467,2118569,FALSE,1,Central,UNK,FALSE,FALSE,San Juan,San Juan Tecpan,0,0,0,0,0,0,0,1,0,0
11,Tecpan-Xochitlan,Xochitlan,Tecpan,487v,Barrio,561258.5283,2117073.172,1,101,Ciudad Huexotzinco,Tecpan,1,562467,2118569,TRUE,1,Central,Ciudad,FALSE,FALSE,San Juan,San Juan Tecpan,0,0,0,0,0,0,0,1,0,0
12,Tecpan-Tlachichilco,Tlachichilco,Tecpan,488r,Barrio,551250.5416,2116886.551,28,128,Tlachichilco,Tecpan,1,562467,2118569,FALSE,1,Central,Ciudad,FALSE,FALSE,San Juan,San Juan Tecpan,0,0,0,0,0,0,0,0,1,0
13,Tecpan-Church Singers,Church Singers,Tecpan,MISSING,Total,562681.6374,2115362.612,27,127,Zacatepec,Tecpan,1,562467,2118569,FALSE,1,Central,Ciudad,FALSE,FALSE,San Juan,San Juan Tecpan,0,0,0,0,0,0,0,0,0,0
14,Tecpan-Nobles Ciudad,Nobles Ciudad,Tecpan,685v,Nobles,562394.0443,2119033.268,1,101,Ciudad Huexotzinco,Tecpan,1,562467,2118569,FALSE,0,Central,Ciudad,FALSE,FALSE,San Juan,San Juan Tecpan,2,0,1,1,1,1,1,0,0,0
15,Tecpan-Nobles Totollac,Nobles Totollac,Tecpan,685v,Nobles,556739.2379,2117841.483,12,112,Acxotlan Tecpan,Tecpan,1,562467,2118569,FALSE,0,Central,Ciudad,FALSE,FALSE,San Juan,San Juan Tecpan,0,0,0,0,0,0,0,0,0,0
16,Xaltepetlapan-Chimalpan,Chimalpan,Xaltepetlapan,495v,Barrio,561251.5868,2115362.97,33,133,Ahuatepec,Xaltepetlapan,2,557165.9201,2116470.621,FALSE,1,Central,UNK,FALSE,FALSE,Santiago,Santiago Xaltepetlapan,0,0,0,0,0,0,0,1,0,0
17,Xaltepetlapan-Mihuacan,Mihuacan,Xaltepetlapan,496r,Barrio,558735.6553,2116070.233,31,131,Xaltepetlapan,Xaltepetlapan,2,557165.9201,2116470.621,FALSE,1,Central,Ciudad,FALSE,FALSE,Santiago,Santiago Xaltepetlapan,0,0,0,0,0,0,0,1,0,0
18,Xaltepetlapan-Izquitlan,Izquitlan,Xaltepetlapan,496v,Barrio,559948.8939,2116832.607,33,133,Ahuatepec,Xaltepetlapan,2,557165.9201,2116470.621,FALSE,1,Central,Ciudad,FALSE,FALSE,Santiago,Santiago Xaltepetlapan,0,0,0,0,0,0,0,1,0,0
19,Xaltepetlapan-Tlacochcalco,Tlacochcalco,Xaltepetlapan,497r,Barrio,560328.2851,2118151.664,1,101,Ciudad Huexotzinco,Xaltepetlapan,2,557165.9201,2116470.621,FALSE,1,Central,Ciudad,FALSE,FALSE,Santiago,Santiago Xaltepetlapan,0,0,0,0,0,0,0,1,0,0
